Sekretaris Daerah (Ess.II.a),15,3600,2800,10080000,10080000
Asisten (Ess.II.b),14,3150,1550,4882500,4882500
Staf Ahli (Ess.II.b),14,2950,1530,4513500,4513500
Inspektur/Setwan/Kepala Dinas/Kepala Badan (Ess.II.b),14,3100,1380,4278000,4278000
Kepala Bagian/Sekretaris/Camat (Ess.III.a),12,2105,1435,3020675,3020675
Kepala Bidang (Ess. III.b),10,1850,1400,2590000,2590000
Lurah/Kepala Sub Bagian/Kepala Sub Bidang/Kepala Seksi (Ess.IV.a),9,1550,1375,2131250,2131250
Sekretaris Lurah/Kepala Seksi (Ess.IV.b),8,1320,1250,1650000,1650000
Kepala TU Sekolah (Ess.V.a),8,1150,1200,1380000,1380000
Pelaksana Gol. IV ,7,855,1100,940500,940500
Pelaksana Gol.III,6,690,1000,690000,690000
Pelaksana Gol.II & I,5,600,1000,600000,600000
